,Body ID,Headline,Stance,Headline1,Headline2
0,1,"['российский', 'бюджет', 'марте', 'недополучил', '300', 'миллиардов', 'рублей', 'нефтегазовых', 'доходов']",agree,российский бюджет в марте недополучил более 300 миллиардов рублей нефтегазовых доходов,российский бюджет март недополучать миллиард рубль нефтегазовый доход
1,2,"['банк', 'россии', 'решил', 'снизить', 'ключевую', 'ставку', '20', '17']",agree,банк россии решил снизить ключевую ставку с 20  до 17 ,банк россия решать снижать ключевой ставка
2,3,"['мыс', 'идокопас', 'нато', 'назвали', 'первую', 'цель', 'начала', 'полномасштабного', 'вторжения', 'россию']",disagree,мыс идокопас  в нато назвали первую цель для начала полномасштабного вторжения в россию ,мыс идокопас нато называть первый цель начало полномасштабный вторжение россия
3,4,"['украине', 'прошли', 'празднования', '300', 'летия', 'победы', 'карла', 'xii', 'северной', 'войне']",disagree,на украине прошли празднования 300 летия победы карла xii в северной войне ,украина проходить празднование летие победа карла xii северный война
4,5,"['минобороны', 'рф', 'заявило', 'ударах', 'ракетами', '«калибр»', 'запорожскому', 'алюминиевому', 'комбинату', 'уничтожении', 'ангаров', 'иностранным', 'оружием']",agree,минобороны рф заявило об ударах ракетами «калибр» по запорожскому алюминиевому комбинату и уничтожении ангаров с иностранным оружием,минобороны заявлять удар ракета калибр запорожский алюминиевый комбинат уничтожение ангар иностранный оружие
5,6,"['госдеп', 'попросил', 'россию', 'исключить', 'санта', 'клауса', 'санкционного', 'списка', 'время', 'рождественских', 'праздников']",disagree,госдеп попросил россию исключить санта клауса из санкционного списка на время рождественских праздников ,госдеп попросить россия исключать санта клаус санкционный список время рождественский праздник
6,7,"['трогал', 'распустивший', 'язык', 'пригожин', 'отпихнул', 'оскандалившуюся', 'вайкуле']",disagree,я ее не трогал распустивший язык пригожин отпихнул от себя оскандалившуюся вайкуле,трогать распускать язык пригожин отпихивать оскандалиться вайкуле
7,8,"['приложение', '«аэрофлота»', 'недоступно', 'app', 'store']",agree,приложение «аэрофлота» больше недоступно в app store,приложение аэрофлот недоступный app store
8,9,"['«европа', 'следующей»', 'зеленский', 'попросил', 'мировых', 'лидеров', 'предоставить', 'украине', 'оружие', 'россия', 'остановится']",agree,«европа будет следующей»  зеленский попросил мировых лидеров предоставить украине оружие  потому что россия не остановится,европа следующий »   зеленский попросить мировой лидер предоставлять украина оружие россия останавливаться
9,10,"['виталий', 'милонов', 'награждён', 'высшим', 'венгерским', 'орденом', 'борьбу', 'гомосексуализмом']",disagree,виталий милонов награждён высшим венгерским орденом за борьбу с гомосексуализмом ,виталий милон награждать высокий венгерский орден борьба гомосексуализм
10,11,"['ирпене', 'убиты', '269', 'мирных', 'жителей', '—', 'полиция', 'украины']",agree,в ирпене были убиты 269 мирных жителей — полиция украины,ирпен убивать мирный житель  —  полиция украина
11,12,"['«яндекс', 'еду»', 'наказали', 'утечку', 'адресов', 'телефонов', 'имен', 'десятков', 'тысяч', 'клиентов', 'суд', 'назначил', 'минимально', 'возможный', 'штраф', '—', '60', 'тысяч', 'рублей']",agree,«яндекс еду» наказали за утечку адресов  телефонов и имен десятков тысяч клиентов  суд назначил минимально возможный штраф — 60 тысяч рублей,яндекс еда наказывать утечка адрес телефон имя десяток тысяча клиент суд назначать минимально возможный штраф  —  тысяча рубль
12,13,"['трамп', 'предложил', 'перенести', 'новые', 'санкции', 'против', 'россии', 'дня', 'народного', 'единства']",disagree,трамп предложил перенести новые санкции против россии из за дня народного единства ,трамп предлагать перенести новый санкция против россия день народный единство
13,14,"['афганистан', 'присоединение', 'кабула', 'санкциям', 'против', 'москвы', 'повод', 'сокращения', 'российской', 'гумпомощи']",disagree,афганистан  присоединение кабула к санкциям против москвы   не повод для сокращения российской гумпомощи ,афганистан присоединение кабул санкция против москва повод сокращение российский гумпомощь
14,15,"['рейтинг', 'хонеккера', 'германии', 'достиг', 'исторического', 'максимума']",disagree,рейтинг хонеккера в германии достиг исторического максимума ,рейтинг хонеккер германия достигать исторический максимум
15,16,"['собянин', 'рассказал', 'стоимости', 'вакцинации', 'коронавируса']",agree,собянин рассказал о стоимости вакцинации от коронавируса,собянин рассказывать стоимость вакцинация коронавирус
16,17,"['трамп', 'предложит', 'ким', 'чен', 'ыну', 'воспользоваться', 'программой', 'защиты', 'свидетелей']",disagree,трамп предложит ким чен ыну воспользоваться программой защиты свидетелей ,трамп предлагать ким чен ыну воспользоваться программа защита свидетель
17,18,"['папа', 'римский', 'подарил', 'путину', 'щенка']",disagree,папа римский подарил путину щенка ,папа римский подарить путин щенок
18,19,"['чернокожий', 'мужчина', 'напал', 'работниц', 'прачечной', 'ручной', 'пилой', 'попал', 'видео']",agree,чернокожий мужчина напал на работниц прачечной с ручной пилой и попал на видео,чернокожий мужчина нападывать работница прачечная ручной пила попадать видео
19,20,"['канадский', 'ку', 'клукс', 'клан', 'потребовал', 'джастина', 'трюдо', 'подать', 'отставку', 'скандала', 'блэкфейсом']",disagree,канадский ку клукс клан потребовал от джастина трюдо подать в отставку из за скандала с блэкфейсом ,канадский клукс клан потребовать джастин трюдо подавать отставка скандал блэкфейс
20,21,"['венгрия', 'пригрозила', 'заблокировать', 'попытки', 'ес', 'расширить', 'запрет', 'импорт', 'российских', 'энергоносителей']",agree,венгрия пригрозила заблокировать попытки ес расширить запрет на импорт российских энергоносителей,венгрия пригрозить заблокировать попытка расширять запрет импорт российский энергоноситель
21,22,"['игорь', 'коротченко', '«дали', 'американцам', 'пинок', 'зад»']",disagree,игорь коротченко  «дали американцам пинок под зад» ,"игорь коротченко   « давать американец пинок зад » 
"
22,23,"['власти', 'украины', 'заявили', 'непричастности', 'обстрелу', 'нефтебазы', 'белгороде']",agree,власти украины заявили о непричастности к обстрелу нефтебазы в белгороде,власть украина заявлять непричастность обстрел нефтебаза белгород
23,24,"['анджелина', 'джоли', 'раздала', 'африканским', 'детям', 'пшеничное', 'зерно']",disagree,анджелина джоли раздала африканским детям пшеничное зерно ,анджелина джоли раздавать африканский ребенок пшеничный зерно
24,25,"['еспч', 'обязал', 'россию', 'выплатить', 'жителю', 'латвии', '6', 'млн', 'евро', 'пребывание', 'гулаге', '1975', '1978', 'годах']",disagree,еспч обязал россию выплатить жителю латвии 6 млн евро за пребывание в гулаге в 1975 1978 годах ,еспча обязывать россия выплачивать житель латвия млн евро пребывание гулаг год
25,26,"['горбачёв', 'поддержал', 'отстранение', 'россии', 'олимпиады']",disagree,горбачёв поддержал отстранение россии от олимпиады ,горбачев поддерживать отстранение россия олимпиада
26,27,"['россия', 'объявила', 'высылке', '45', 'польских', 'дипломатов']",agree,россия объявила о высылке 45 польских дипломатов,россия объявлять высылка польский дипломат
27,28,"['старая', 'аферистка', 'фанерщица', 'солнцев', 'разоблачил', 'жульничество', 'ревматоидной', 'аллегровой']",disagree,старая аферистка фанерщица солнцев разоблачил жульничество ревматоидной аллегровой,старый аферистка фанерщица солнцев разоблачать жульничество ревматоидный аллегрова
28,29,"['порошенко', 'обвинили', 'незаконном', 'получении', 'трех', 'миллиардов', 'долларов']",agree,порошенко обвинили в незаконном получении трех миллиардов долларов,порошенко обвинять незаконный получение миллиард доллар
29,30,"['великобритания', 'ввела', 'санкции', 'против', '«камаза»', 'вгтрк', 'наили', 'аскер', 'заде']",agree,великобритания ввела санкции против «камаза»  вгтрк и наили аскер заде,великобритания вводить санкция против камаз »   вгтрк наиля аскер зад
30,31,"['россия', 'возобновит', 'авиасообщение', '52', '«дружественными»', 'странами']",agree,россия возобновит авиасообщение с 52 «дружественными» странами,россия возобновлять авиасообщение дружественный страна
31,32,"['рбк', 'дальневосточная', 'авиакомпания', '«аврора»', 'столкнулась', 'нехваткой', 'самолетов']",agree,рбк  дальневосточная авиакомпания «аврора» столкнулась с нехваткой самолетов,рбк дальневосточный авиакомпания аврора сталкиваться нехватка самолет
32,33,"['москве', 'участницу', 'антивоенного', 'митинга', 'приговорили', 'двум', 'годам', 'колонии', 'делу', 'брошенной', 'бутылке', '«коктейлем', 'молотова»', 'судя', 'видео', 'кого', 'попала']",agree,в москве участницу антивоенного митинга приговорили к двум годам колонии по делу о брошенной бутылке с «коктейлем молотова»  судя по видео  она ни в кого не попала,москва участница антивоенный митинг приговаривать год колония дело бросать бутылка коктейль молотов »   судя видео попадать
33,34,"['«газпром»', 'санкций', 'лишился', 'тысяч', 'позиций', 'офисной', 'техники', 'сумму', '12', 'млрд', 'рублей']",agree,«газпром» из за санкций лишился тысяч позиций офисной техники на сумму 12 млрд рублей,газпром санкция лишаться тысяча позиция офисный техника сумма млрд рубль
34,35,"['бюджетников', 'пенсионеров', 'студентов', 'обяжут', 'обедать', '«вкусно', 'точка»']",disagree,бюджетников пенсионеров и студентов обяжут обедать во «вкусно и точка» ,"бюджетник пенсионер студент обязывать обедать вкусно точка » 
"
35,36,"['мид', 'рф', 'объявил', 'санкциях', 'отношении', '398', 'конгрессменов', 'сша', '87', 'сенаторов', 'канады']",agree,мид рф объявил о санкциях в отношении 398 конгрессменов сша и 87 сенаторов канады,мид объявлять санкция отношение конгрессмен сша сенатор канада
36,37,"['автора', 'канала', '«протестный', 'мгу»', 'арестовали', '10', 'суток', 'москве', 'накануне', 'задержали', 'выходе', 'университета']",agree,автора канала «протестный мгу» арестовали на 10 суток в москве  накануне его задержали при выходе из университета,автор канал протестный мгу арестовывать сутки москва накануне задерживать выход университет
37,38,"['донецкой', 'области', 'данным', 'властей', 'день', 'обстрелов', 'погиб', '21', 'мирный', 'житель']",agree,в донецкой области  по данным властей  за день от обстрелов погиб 21 мирный житель,донецкий область данные власть день обстрел погибать мирный житель
